operations	random	drophalf	r_total	r_sorted	r_dup	r_null	dh_total	dh_sorted	dh_dup	dh_null
1	84	88	1190	1026	0	0	1136	1034	0	0
2	147	144	1360	1053	0	0	1388	1042	0	0
3	237	227	1265	1044	0	0	1321	1045	0	0
4	313	334	1277	1045	0	0	1197	1028	0	0
5	383	369	1305	1038	0	0	1355	1040	0	0
6	424	441	1415	1037	0	0	1360	1038	0	0
7	596	581	1174	1041	0	0	1204	1041	0	0
8	612	594	1307	1042	0	0	1346	1037	0	0
9	616	628	1461	1044	0	0	1433	1038	0	0
10	749	783	1335	1041	0	0	1277	1042	0	0
11	919	923	1171	1025	42	20	1191	1042	0	0
12	962	938	1205	1019	84	42	1279	1044	0	0
13	963	955	1306	1019	137	68	1361	1043	0	0
14	964	988	1404	1020	189	94	1417	1042	0	0
15	971	1078	1446	1020	217	109	1391	1036	0	0
16	976	1243	1369	1024	181	90	1287	1043	0	0
17	979	1412	1213	1021	99	49	1203	1039	0	0
18	970	1493	1228	1030	101	50	1205	1039	0	0
19	967	1509	1328	1034	152	76	1259	1040	0	0
20	967	1518	1421	1034	202	101	1317	1040	0	0
21	967	1540	1461	1034	224	112	1360	1039	63	63
22	967	1560	1389	1034	187	93	1399	1038	122	122
23	967	1563	1247	1034	111	55	1441	1048	176	176
24	966	1565	1237	1035	104	52	1456	1059	217	217
25	966	1566	1324	1035	150	75	1413	1060	228	228
26	966	1566	1418	1035	200	100	1327	1041	216	216
27	966	1561	1457	1035	222	111	1260	1013	213	213
28	967	1553	1397	1034	191	95	1217	984	222	222
29	966	1540	1261	1036	118	58	1240	973	263	263
30	965	1531	1239	1036	104	52	1279	965	313	313
31	964	1530	1321	1037	146	73	1337	962	357	333
32	964	1524	1412	1037	195	98	1373	950	388	341
33	964	1489	1452	1038	218	109	1366	927	387	321
34	964	1425	1407	1038	195	97	1182	848	271	209
35	965	1208	1270	1037	122	61	1022	855	106	67
36	965	1126	1249	1036	109	54	1053	888	85	43
37	965	1117	1316	1036	144	72	1142	895	128	63
38	966	1111	1400	1035	190	95	1223	899	169	84
39	966	1076	1448	1036	217	108	1306	929	199	99
40	965	1002	1402	1037	193	97	1351	998	187	93
41	963	974	1283	1039	128	64	1244	1027	114	57
42	963	964	1259	1039	114	56	1241	1037	105	52
43	963	962	1315	1038	143	71	1323	1039	147	73
44	963	962	1397	1038	187	93	1409	1039	193	97
45	963	962	1447	1039	215	107	1466	1039	225	112
46	963	962	1400	1039	191	95	1403	1039	193	96
47	963	961	1303	1039	139	69	1278	1040	124	62
48	963	960	1266	1039	118	59	1246	1041	106	53
49	963	960	1309	1038	140	70	1320	1040	144	72
50	963	959	1388	1038	182	91	1407	1042	190	95
51	963	958	1437	1039	209	104	1464	1043	221	110
52	963	957	1401	1039	191	95	1412	1044	194	97
53	965	956	1313	1037	145	72	1303	1046	135	67
54	964	955	1266	1038	118	59	1264	1046	113	56
55	964	955	1307	1038	139	70	1323	1046	143	72
